Geo Point;Geo Shape;TYP
47.4176946368,9.3826256165;"{""type"": ""Point"", ""coordinates"": [9.382625616504825, 47.41769463684644]}";Kandelaberleuchte
47.4180065494,9.38333515741;"{""type"": ""Point"", ""coordinates"": [9.383335157410867, 47.418006549446055]}";Kandelaberleuchte
47.43380149,9.38685033497;"{""type"": ""Point"", ""coordinates"": [9.386850334969477, 47.433801490044004]}";Unbekannt
47.4346866492,9.38741848092;"{""type"": ""Point"", ""coordinates"": [9.387418480919084, 47.434686649219884]}";Kandelaberleuchte
47.4308534448,9.38267090307;"{""type"": ""Point"", ""coordinates"": [9.382670903065769, 47.43085344483699]}";Kandelaberleuchte
47.4319992755,9.3799119235;"{""type"": ""Point"", ""coordinates"": [9.379911923500524, 47.43199927548937]}";Kandelaberleuchte
47.4317103773,9.37911203439;"{""type"": ""Point"", ""coordinates"": [9.37911203438655, 47.43171037732595]}";Kandelaberleuchte
47.415793086,9.36230994983;"{""type"": ""Point"", ""coordinates"": [9.362309949829378, 47.41579308601712]}";Kandelaberleuchte
47.4210290406,9.3461017239;"{""type"": ""Point"", ""coordinates"": [9.346101723897194, 47.421029040559645]}";Kandelaberleuchte
47.4155686711,9.36214715781;"{""type"": ""Point"", ""coordinates"": [9.362147157809229, 47.41556867108524]}";Kandelaberleuchte
47.4071735332,9.30928086284;"{""type"": ""Point"", ""coordinates"": [9.309280862842822, 47.407173533240595]}";Kandelaberleuchte
47.4177467434,9.38578381991;"{""type"": ""Point"", ""coordinates"": [9.385783819912877, 47.41774674338557]}";Kandelaberleuchte
47.4231629905,9.37988539592;"{""type"": ""Point"", ""coordinates"": [9.379885395918791, 47.423162990485196]}";Kandelaberleuchte
47.422306467,9.37972441715;"{""type"": ""Point"", ""coordinates"": [9.379724417148063, 47.422306467040386]}";Kandelaberleuchte
47.4221147732,9.3798078618;"{""type"": ""Point"", ""coordinates"": [9.379807861799254, 47.42211477316502]}";Kandelaberleuchte
47.4423908843,9.38613225605;"{""type"": ""Point"", ""coordinates"": [9.386132256053395, 47.442390884347766]}";Kandelaberleuchte
47.4428577856,9.40340532577;"{""type"": ""Point"", ""coordinates"": [9.403405325774838, 47.44285778557269]}";Kandelaberleuchte
47.4439024469,9.40351336927;"{""type"": ""Point"", ""coordinates"": [9.403513369266735, 47.4439024468577]}";Kandelaberleuchte
47.4444956137,9.40373919311;"{""type"": ""Point"", ""coordinates"": [9.403739193111207, 47.444495613727966]}";Kandelaberleuchte
47.4431875205,9.40221654215;"{""type"": ""Point"", ""coordinates"": [9.402216542154843, 47.44318752046942]}";Kandelaberleuchte
47.4429936695,9.40097161864;"{""type"": ""Point"", ""coordinates"": [9.400971618640929, 47.44299366948109]}";Kandelaberleuchte
47.439564061,9.40580788864;"{""type"": ""Point"", ""coordinates"": [9.405807888638709, 47.43956406096719]}";Kandelaberleuchte
47.4396530736,9.40725192383;"{""type"": ""Point"", ""coordinates"": [9.407251923832307, 47.43965307355695]}";Kandelaberleuchte
47.4409046508,9.40869728964;"{""type"": ""Point"", ""coordinates"": [9.408697289637486, 47.440904650770975]}";Kandelaberleuchte
47.4388161863,9.38877646221;"{""type"": ""Point"", ""coordinates"": [9.388776462213134, 47.43881618632191]}";Kandelaberleuchte
47.4379168119,9.38793184581;"{""type"": ""Point"", ""coordinates"": [9.38793184581171, 47.43791681190357]}";Kandelaberleuchte
47.438175618,9.38722729009;"{""type"": ""Point"", ""coordinates"": [9.387227290087893, 47.438175618022676]}";Kandelaberleuchte
47.4417421147,9.41010968912;"{""type"": ""Point"", ""coordinates"": [9.41010968911624, 47.441742114657664]}";Kandelaberleuchte
47.4146598633,9.3923491316;"{""type"": ""Point"", ""coordinates"": [9.392349131604977, 47.4146598632556]}";Kandelaberleuchte
47.4074340242,9.31337536108;"{""type"": ""Point"", ""coordinates"": [9.31337536108391, 47.40743402421436]}";Kandelaberleuchte
47.4240093402,9.36156890936;"{""type"": ""Point"", ""coordinates"": [9.361568909364818, 47.42400934016221]}";Kandelaberleuchte
47.4080161359,9.33431236591;"{""type"": ""Point"", ""coordinates"": [9.33431236590557, 47.408016135877]}";Kandelaberleuchte
47.4251444438,9.35948469789;"{""type"": ""Point"", ""coordinates"": [9.359484697891533, 47.42514444377922]}";Kandelaberleuchte
47.4248941409,9.35919201739;"{""type"": ""Point"", ""coordinates"": [9.359192017390683, 47.42489414085582]}";Kandelaberleuchte
47.4187458292,9.36195416903;"{""type"": ""Point"", ""coordinates"": [9.3619541690266, 47.41874582924625]}";Kandelaberleuchte
47.4175880815,9.3615871359;"{""type"": ""Point"", ""coordinates"": [9.36158713590293, 47.417588081487416]}";Kandelaberleuchte
47.4201595748,9.36669043434;"{""type"": ""Point"", ""coordinates"": [9.366690434337057, 47.42015957480034]}";Kandelaberleuchte
47.4176985824,9.36577670245;"{""type"": ""Point"", ""coordinates"": [9.365776702453125, 47.417698582362625]}";Kandelaberleuchte
