Geo Point;Geo Shape;TYP
47.4371641119,9.41523489609;"{""type"": ""Point"", ""coordinates"": [9.415234896093189, 47.437164111870985]}";Kandelaberleuchte
47.4378812555,9.41635219814;"{""type"": ""Point"", ""coordinates"": [9.41635219814384, 47.43788125548348]}";Kandelaberleuchte
47.4409918892,9.41144563989;"{""type"": ""Point"", ""coordinates"": [9.411445639890003, 47.440991889152556]}";Kandelaberleuchte
47.4419870991,9.41266361097;"{""type"": ""Point"", ""coordinates"": [9.412663610971086, 47.44198709907193]}";Kandelaberleuchte
47.4423282416,9.41308308064;"{""type"": ""Point"", ""coordinates"": [9.413083080635921, 47.44232824160584]}";Kandelaberleuchte
47.4411098621,9.41189442682;"{""type"": ""Point"", ""coordinates"": [9.411894426815289, 47.44110986214677]}";Kandelaberleuchte
47.4416862949,9.41264635028;"{""type"": ""Point"", ""coordinates"": [9.412646350278647, 47.44168629488029]}";Kandelaberleuchte
47.4419190002,9.41276749465;"{""type"": ""Point"", ""coordinates"": [9.412767494649122, 47.44191900019875]}";Inselpfosten
47.4425008069,9.41315760891;"{""type"": ""Point"", ""coordinates"": [9.413157608906689, 47.4425008068943]}";Inselpfosten
47.4179317977,9.35310139668;"{""type"": ""Point"", ""coordinates"": [9.35310139667688, 47.4179317977358]}";Kandelaberleuchte
47.4178736003,9.35237777992;"{""type"": ""Point"", ""coordinates"": [9.352377779923861, 47.41787360026874]}";Kandelaberleuchte
47.4168570888,9.3505564908;"{""type"": ""Point"", ""coordinates"": [9.350556490804799, 47.41685708882704]}";Kandelaberleuchte
47.4171734531,9.35195391091;"{""type"": ""Point"", ""coordinates"": [9.351953910909497, 47.41717345306511]}";Kandelaberleuchte
47.4169657505,9.35325982053;"{""type"": ""Point"", ""coordinates"": [9.353259820525846, 47.416965750513235]}";Kandelaberleuchte
47.416637272,9.35406139732;"{""type"": ""Point"", ""coordinates"": [9.354061397323274, 47.41663727197632]}";Kandelaberleuchte
47.4108551767,9.34598621648;"{""type"": ""Point"", ""coordinates"": [9.345986216482128, 47.41085517669276]}";Kandelaberleuchte
47.410686415,9.34560250047;"{""type"": ""Point"", ""coordinates"": [9.34560250047078, 47.410686415014744]}";Kandelaberleuchte
47.4077184938,9.3315540963;"{""type"": ""Point"", ""coordinates"": [9.331554096300763, 47.40771849379575]}";Kandelaberleuchte
47.4071672934,9.32892615576;"{""type"": ""Point"", ""coordinates"": [9.328926155756593, 47.40716729342015]}";Kandelaberleuchte
47.4217649587,9.36433851176;"{""type"": ""Point"", ""coordinates"": [9.364338511762682, 47.42176495870643]}";Kandelaberleuchte
47.4074853707,9.3687589063;"{""type"": ""Point"", ""coordinates"": [9.36875890629818, 47.407485370703945]}";Kandelaberleuchte
47.4076028901,9.36919060807;"{""type"": ""Point"", ""coordinates"": [9.369190608073835, 47.40760289009842]}";Kandelaberleuchte
47.4145297839,9.3863650512;"{""type"": ""Point"", ""coordinates"": [9.38636505120479, 47.414529783918375]}";Kandelaberleuchte
47.4144786472,9.38710314893;"{""type"": ""Point"", ""coordinates"": [9.387103148925227, 47.4144786471716]}";Kandelaberleuchte
47.4146593099,9.3876699136;"{""type"": ""Point"", ""coordinates"": [9.38766991360092, 47.41465930985431]}";Kandelaberleuchte
47.4144718636,9.38774218122;"{""type"": ""Point"", ""coordinates"": [9.387742181216067, 47.414471863596994]}";Kandelaberleuchte
47.4190892729,9.37083701398;"{""type"": ""Point"", ""coordinates"": [9.370837013976315, 47.41908927285909]}";Kandelaberleuchte
47.4192184459,9.37115415196;"{""type"": ""Point"", ""coordinates"": [9.371154151955688, 47.419218445860906]}";Kandelaberleuchte
47.4193888447,9.37165500134;"{""type"": ""Point"", ""coordinates"": [9.371655001338604, 47.41938884474761]}";Kandelaberleuchte
47.4236860065,9.38443629196;"{""type"": ""Point"", ""coordinates"": [9.384436291957751, 47.423686006493]}";Kandelaberleuchte
47.4237573933,9.38317983168;"{""type"": ""Point"", ""coordinates"": [9.38317983167958, 47.423757393314304]}";Kandelaberleuchte
47.4252436472,9.38604490185;"{""type"": ""Point"", ""coordinates"": [9.386044901846097, 47.42524364719112]}";Kandelaberleuchte
47.4032889581,9.30630934329;"{""type"": ""Point"", ""coordinates"": [9.306309343287854, 47.4032889581494]}";Kandelaberleuchte
47.402454995,9.30400541409;"{""type"": ""Point"", ""coordinates"": [9.304005414094982, 47.40245499502817]}";Inselpfosten
47.4024399932,9.30384187207;"{""type"": ""Point"", ""coordinates"": [9.30384187206841, 47.40243999316049]}";Kandelaberleuchte
47.4029398231,9.30400627067;"{""type"": ""Point"", ""coordinates"": [9.30400627067398, 47.40293982307222]}";Kandelaberleuchte
47.4131606735,9.30908542223;"{""type"": ""Point"", ""coordinates"": [9.309085422225008, 47.41316067345753]}";Kandelaberleuchte
47.4136201692,9.30838120943;"{""type"": ""Point"", ""coordinates"": [9.308381209425033, 47.413620169185826]}";Kandelaberleuchte
47.4133571775,9.30800204246;"{""type"": ""Point"", ""coordinates"": [9.308002042458888, 47.413357177522236]}";Kandelaberleuchte
47.4160979392,9.38965538476;"{""type"": ""Point"", ""coordinates"": [9.389655384760937, 47.416097939181135]}";Kandelaberleuchte
47.4169861331,9.38927532976;"{""type"": ""Point"", ""coordinates"": [9.389275329758043, 47.416986133101744]}";Kandelaberleuchte
47.4329600968,9.40182381979;"{""type"": ""Point"", ""coordinates"": [9.401823819793622, 47.43296009675915]}";Kandelaberleuchte
47.4330509972,9.40310341566;"{""type"": ""Point"", ""coordinates"": [9.403103415659226, 47.43305099719227]}";Kandelaberleuchte
47.4329038028,9.40447850544;"{""type"": ""Point"", ""coordinates"": [9.404478505436984, 47.43290380278731]}";Kandelaberleuchte
47.4340025977,9.40387833072;"{""type"": ""Point"", ""coordinates"": [9.403878330724709, 47.43400259767525]}";Kandelaberleuchte
47.4024184177,9.30139641328;"{""type"": ""Point"", ""coordinates"": [9.301396413281473, 47.40241841765178]}";Kandelaberleuchte
47.4015746726,9.299352562;"{""type"": ""Point"", ""coordinates"": [9.299352562002603, 47.40157467263695]}";Kandelaberleuchte
47.411845261,9.30568706179;"{""type"": ""Point"", ""coordinates"": [9.30568706178539, 47.41184526098454]}";Kandelaberleuchte
47.4022624297,9.29744440383;"{""type"": ""Point"", ""coordinates"": [9.297444403830111, 47.402262429710206]}";Kandelaberleuchte
47.401930356,9.2962853096;"{""type"": ""Point"", ""coordinates"": [9.296285309598234, 47.40193035604757]}";Kandelaberleuchte
47.4017977857,9.29590676698;"{""type"": ""Point"", ""coordinates"": [9.295906766984565, 47.401797785713256]}";Kandelaberleuchte
47.4024079388,9.29482992274;"{""type"": ""Point"", ""coordinates"": [9.29482992274396, 47.40240793881814]}";Kandelaberleuchte
47.4034933494,9.29622945131;"{""type"": ""Point"", ""coordinates"": [9.296229451309268, 47.40349334938486]}";Kandelaberleuchte
47.3999043271,9.30189939453;"{""type"": ""Point"", ""coordinates"": [9.301899394528883, 47.399904327071866]}";Kandelaberleuchte
47.3990278785,9.29915468608;"{""type"": ""Point"", ""coordinates"": [9.29915468607997, 47.39902787845332]}";Kandelaberleuchte
47.405131284,9.3141947019;"{""type"": ""Point"", ""coordinates"": [9.314194701903055, 47.40513128404135]}";Kandelaberleuchte
47.4052560192,9.31458618524;"{""type"": ""Point"", ""coordinates"": [9.314586185244272, 47.40525601917172]}";Kandelaberleuchte
47.4037925041,9.31305023459;"{""type"": ""Point"", ""coordinates"": [9.313050234588143, 47.40379250413663]}";Kandelaberleuchte
47.4049051766,9.31698016832;"{""type"": ""Point"", ""coordinates"": [9.316980168315988, 47.404905176589345]}";Kandelaberleuchte
47.4056543376,9.31653284764;"{""type"": ""Point"", ""coordinates"": [9.316532847640946, 47.40565433761572]}";Kandelaberleuchte
47.4053749117,9.31650108693;"{""type"": ""Point"", ""coordinates"": [9.316501086931355, 47.40537491174869]}";Kandelaberleuchte
47.4050988127,9.31655355428;"{""type"": ""Point"", ""coordinates"": [9.316553554284619, 47.40509881269149]}";Kandelaberleuchte
47.4066299413,9.32046529354;"{""type"": ""Point"", ""coordinates"": [9.320465293535953, 47.406629941318315]}";Kandelaberleuchte
47.4061225219,9.32429586958;"{""type"": ""Point"", ""coordinates"": [9.324295869576373, 47.40612252192766]}";Kandelaberleuchte
47.4068185034,9.32506895967;"{""type"": ""Point"", ""coordinates"": [9.325068959673734, 47.4068185033966]}";Kandelaberleuchte
47.4076385826,9.32578965457;"{""type"": ""Point"", ""coordinates"": [9.325789654565366, 47.40763858256317]}";Kandelaberleuchte
47.4076989119,9.3265965711;"{""type"": ""Point"", ""coordinates"": [9.326596571099165, 47.407698911910806]}";Kandelaberleuchte
47.4050222114,9.32484523689;"{""type"": ""Point"", ""coordinates"": [9.324845236889939, 47.40502221143445]}";Kandelaberleuchte
47.4061636158,9.32303614966;"{""type"": ""Point"", ""coordinates"": [9.323036149663585, 47.406163615818386]}";Kandelaberleuchte
47.4064600427,9.32141587947;"{""type"": ""Point"", ""coordinates"": [9.3214158794676, 47.40646004271699]}";Kandelaberleuchte
47.4056925755,9.32537871356;"{""type"": ""Point"", ""coordinates"": [9.325378713562825, 47.40569257550886]}";Kandelaberleuchte
47.4271648127,9.3827187574;"{""type"": ""Point"", ""coordinates"": [9.382718757403106, 47.42716481269002]}";Kandelaberleuchte
47.4272741821,9.38246287449;"{""type"": ""Point"", ""coordinates"": [9.382462874485688, 47.427274182111226]}";Kandelaberleuchte
47.42806971,9.38282771266;"{""type"": ""Point"", ""coordinates"": [9.382827712660236, 47.42806971001908]}";Kandelaberleuchte
47.4284256234,9.38321716195;"{""type"": ""Point"", ""coordinates"": [9.383217161945465, 47.428425623404266]}";Kandelaberleuchte
47.4285928,9.38248675836;"{""type"": ""Point"", ""coordinates"": [9.38248675835561, 47.42859280003166]}";Kandelaberleuchte
47.4270279437,9.38278455462;"{""type"": ""Point"", ""coordinates"": [9.382784554617368, 47.42702794366003]}";Kandelaberleuchte
47.4337082647,9.40800139254;"{""type"": ""Point"", ""coordinates"": [9.40800139253741, 47.43370826469669]}";Kandelaberleuchte
47.4328095448,9.40493587322;"{""type"": ""Point"", ""coordinates"": [9.404935873219355, 47.43280954483848]}";Kandelaberleuchte
47.4326870724,9.40516208433;"{""type"": ""Point"", ""coordinates"": [9.405162084327685, 47.43268707235151]}";Kandelaberleuchte
47.4320743601,9.40392511649;"{""type"": ""Point"", ""coordinates"": [9.40392511648871, 47.43207436008846]}";Kandelaberleuchte
47.4327451571,9.40178113814;"{""type"": ""Point"", ""coordinates"": [9.401781138141457, 47.43274515709544]}";Kandelaberleuchte
47.419856075,9.37425765206;"{""type"": ""Point"", ""coordinates"": [9.374257652057269, 47.4198560749527]}";Kandelaberleuchte
47.4194403469,9.37535421486;"{""type"": ""Point"", ""coordinates"": [9.375354214859058, 47.419440346865585]}";Kandelaberleuchte
47.4319780263,9.38807919039;"{""type"": ""Point"", ""coordinates"": [9.388079190391672, 47.43197802632777]}";Kandelaberleuchte
47.4323559374,9.38926530302;"{""type"": ""Point"", ""coordinates"": [9.389265303023858, 47.43235593741981]}";Kandelaberleuchte
47.4305218824,9.39049366812;"{""type"": ""Point"", ""coordinates"": [9.39049366812357, 47.43052188240459]}";Kandelaberleuchte
47.4308601151,9.39212881316;"{""type"": ""Point"", ""coordinates"": [9.392128813160134, 47.43086011514294]}";Kandelaberleuchte
47.4296751023,9.38988220107;"{""type"": ""Point"", ""coordinates"": [9.389882201069845, 47.42967510227497]}";Kandelaberleuchte
47.4299195932,9.386021606;"{""type"": ""Point"", ""coordinates"": [9.386021606000131, 47.429919593224774]}";Kandelaberleuchte
47.4295145801,9.38661806039;"{""type"": ""Point"", ""coordinates"": [9.386618060387114, 47.429514580077736]}";Kandelaberleuchte
47.4268346807,9.3861212396;"{""type"": ""Point"", ""coordinates"": [9.386121239597625, 47.4268346806966]}";Kandelaberleuchte
47.4290482417,9.38981420732;"{""type"": ""Point"", ""coordinates"": [9.38981420731875, 47.429048241654634]}";Kandelaberleuchte
47.4276989012,9.38996278534;"{""type"": ""Point"", ""coordinates"": [9.389962785336758, 47.42769890122441]}";Kandelaberleuchte
47.4279296386,9.39177083607;"{""type"": ""Point"", ""coordinates"": [9.391770836066412, 47.42792963864149]}";Kandelaberleuchte
47.42732206,9.38964130923;"{""type"": ""Point"", ""coordinates"": [9.389641309233323, 47.427322060022405]}";Kandelaberleuchte
47.4263956119,9.38689492424;"{""type"": ""Point"", ""coordinates"": [9.386894924239591, 47.42639561192791]}";Kandelaberleuchte
47.4265288298,9.38832251002;"{""type"": ""Point"", ""coordinates"": [9.38832251002469, 47.42652882984935]}";Kandelaberleuchte
47.426781174,9.39067619341;"{""type"": ""Point"", ""coordinates"": [9.39067619340677, 47.426781174022736]}";Kandelaberleuchte
47.4254208518,9.38850886174;"{""type"": ""Point"", ""coordinates"": [9.388508861744187, 47.425420851753536]}";Kandelaberleuchte
47.4338551886,9.37781880178;"{""type"": ""Point"", ""coordinates"": [9.37781880177967, 47.43385518856754]}";Kandelaberleuchte
47.4157879169,9.37696388536;"{""type"": ""Point"", ""coordinates"": [9.376963885364018, 47.41578791694443]}";Kandelaberleuchte
47.4165028093,9.37880953888;"{""type"": ""Point"", ""coordinates"": [9.378809538878178, 47.416502809270256]}";Kandelaberleuchte
47.417008213,9.38033795962;"{""type"": ""Point"", ""coordinates"": [9.380337959615996, 47.41700821295363]}";Kandelaberleuchte
47.4173920703,9.38093934128;"{""type"": ""Point"", ""coordinates"": [9.380939341278795, 47.41739207026279]}";Kandelaberleuchte
47.4192558432,9.37872863546;"{""type"": ""Point"", ""coordinates"": [9.378728635460764, 47.419255843166944]}";Kandelaberleuchte
47.4182905263,9.37707627288;"{""type"": ""Point"", ""coordinates"": [9.377076272879561, 47.41829052634734]}";Kandelaberleuchte
47.4181062314,9.37746738392;"{""type"": ""Point"", ""coordinates"": [9.377467383915759, 47.41810623140897]}";Kandelaberleuchte
47.4177013978,9.37846993192;"{""type"": ""Point"", ""coordinates"": [9.378469931915657, 47.417701397809516]}";Kandelaberleuchte
47.4259544343,9.38416734355;"{""type"": ""Point"", ""coordinates"": [9.384167343551567, 47.42595443434349]}";Kandelaberleuchte
47.4053033213,9.32487460927;"{""type"": ""Point"", ""coordinates"": [9.324874609271077, 47.40530332127265]}";Kandelaberleuchte
47.4066098768,9.32545522874;"{""type"": ""Point"", ""coordinates"": [9.325455228741768, 47.40660987682844]}";Kandelaberleuchte
47.4191397189,9.36982354192;"{""type"": ""Point"", ""coordinates"": [9.36982354191607, 47.419139718900716]}";Inselpfosten
47.419060446,9.36954208578;"{""type"": ""Point"", ""coordinates"": [9.3695420857786, 47.419060445982396]}";Inselpfosten
47.4181111921,9.36835701917;"{""type"": ""Point"", ""coordinates"": [9.368357019172416, 47.41811119213881]}";Kandelaberleuchte
47.4184130507,9.36908817131;"{""type"": ""Point"", ""coordinates"": [9.369088171308752, 47.41841305066898]}";Kandelaberleuchte
47.4383051705,9.41900456356;"{""type"": ""Point"", ""coordinates"": [9.419004563556921, 47.43830517054513]}";Kandelaberleuchte
47.4382919135,9.41860987171;"{""type"": ""Point"", ""coordinates"": [9.418609871705092, 47.438291913452645]}";Kandelaberleuchte
47.4383215394,9.417394086;"{""type"": ""Point"", ""coordinates"": [9.417394086003673, 47.438321539442654]}";Kandelaberleuchte
47.4390162196,9.41873332237;"{""type"": ""Point"", ""coordinates"": [9.418733322369475, 47.43901621961935]}";Kandelaberleuchte
47.4386612644,9.41783387341;"{""type"": ""Point"", ""coordinates"": [9.417833873407476, 47.43866126440298]}";Inselpfosten
47.409602467,9.31326781533;"{""type"": ""Point"", ""coordinates"": [9.313267815325876, 47.40960246701386]}";Kandelaberleuchte
47.4102428977,9.31355061818;"{""type"": ""Point"", ""coordinates"": [9.313550618178354, 47.41024289766969]}";Kandelaberleuchte
47.4076362958,9.31536872347;"{""type"": ""Point"", ""coordinates"": [9.315368723474743, 47.40763629579685]}";Kandelaberleuchte
47.4075858815,9.31661313699;"{""type"": ""Point"", ""coordinates"": [9.31661313698965, 47.40758588146168]}";Kandelaberleuchte
47.4076231964,9.31786158565;"{""type"": ""Point"", ""coordinates"": [9.317861585645835, 47.40762319636988]}";Kandelaberleuchte
47.407720399,9.31966707777;"{""type"": ""Point"", ""coordinates"": [9.319667077769607, 47.40772039895501]}";Kandelaberleuchte
47.4074143802,9.31703794047;"{""type"": ""Point"", ""coordinates"": [9.31703794047069, 47.407414380247715]}";Kandelaberleuchte
47.4499344154,9.4186493874;"{""type"": ""Point"", ""coordinates"": [9.41864938739709, 47.44993441537869]}";Kandelaberleuchte
47.4308242799,9.38372367243;"{""type"": ""Point"", ""coordinates"": [9.383723672433042, 47.430824279945256]}";Kandelaberleuchte
47.4518300891,9.42165337194;"{""type"": ""Point"", ""coordinates"": [9.421653371938921, 47.45183008908228]}";Kandelaberleuchte
47.4071434813,9.31466637463;"{""type"": ""Point"", ""coordinates"": [9.314666374627416, 47.40714348126998]}";Kandelaberleuchte
47.4068782493,9.31556811702;"{""type"": ""Point"", ""coordinates"": [9.315568117017282, 47.40687824925363]}";Kandelaberleuchte
47.406266792,9.31600519604;"{""type"": ""Point"", ""coordinates"": [9.316005196044769, 47.40626679203478]}";Kandelaberleuchte
47.4060692768,9.31566528436;"{""type"": ""Point"", ""coordinates"": [9.315665284355038, 47.40606927675469]}";Kandelaberleuchte
47.4067435579,9.31950639285;"{""type"": ""Point"", ""coordinates"": [9.319506392851977, 47.40674355790158]}";Kandelaberleuchte
47.4067074311,9.31996864388;"{""type"": ""Point"", ""coordinates"": [9.319968643876567, 47.40670743106347]}";Kandelaberleuchte
47.4119472551,9.33095357224;"{""type"": ""Point"", ""coordinates"": [9.33095357223609, 47.41194725508656]}";Kandelaberleuchte
47.4262635686,9.35907084883;"{""type"": ""Point"", ""coordinates"": [9.359070848832445, 47.426263568576]}";Kandelaberleuchte
47.4264436091,9.35937150095;"{""type"": ""Point"", ""coordinates"": [9.35937150095205, 47.426443609117214]}";Kandelaberleuchte
47.4273588613,9.36087862247;"{""type"": ""Point"", ""coordinates"": [9.360878622468205, 47.42735886134121]}";Kandelaberleuchte
47.4269933222,9.35955229904;"{""type"": ""Point"", ""coordinates"": [9.359552299039478, 47.426993322234765]}";Kandelaberleuchte
47.4273327952,9.36014221324;"{""type"": ""Point"", ""coordinates"": [9.360142213236665, 47.4273327951922]}";Kandelaberleuchte
47.4258126521,9.35914756576;"{""type"": ""Point"", ""coordinates"": [9.359147565762527, 47.425812652065005]}";Kandelaberleuchte
47.4259499221,9.35940704603;"{""type"": ""Point"", ""coordinates"": [9.359407046029105, 47.42594992212322]}";Kandelaberleuchte
47.4262345001,9.360162579;"{""type"": ""Point"", ""coordinates"": [9.360162578995322, 47.42623450011168]}";Kandelaberleuchte
47.4265915421,9.36035984029;"{""type"": ""Point"", ""coordinates"": [9.360359840293826, 47.4265915421328]}";Kandelaberleuchte
47.4267809639,9.3622313759;"{""type"": ""Point"", ""coordinates"": [9.362231375896751, 47.42678096392489]}";Kandelaberleuchte
47.4263651675,9.36155830363;"{""type"": ""Point"", ""coordinates"": [9.361558303626584, 47.42636516749156]}";Kandelaberleuchte
47.4227534357,9.34425124951;"{""type"": ""Point"", ""coordinates"": [9.34425124950614, 47.42275343566957]}";Kandelaberleuchte
47.4228984777,9.34407359559;"{""type"": ""Point"", ""coordinates"": [9.344073595590434, 47.42289847768798]}";Kandelaberleuchte
47.4223173796,9.34360083265;"{""type"": ""Point"", ""coordinates"": [9.343600832645635, 47.4223173795702]}";Kandelaberleuchte
47.4220489051,9.34261447679;"{""type"": ""Point"", ""coordinates"": [9.342614476789652, 47.42204890512962]}";Kandelaberleuchte
47.4225542717,9.34215896904;"{""type"": ""Point"", ""coordinates"": [9.342158969040753, 47.422554271694956]}";Kandelaberleuchte
47.4231061669,9.34101278164;"{""type"": ""Point"", ""coordinates"": [9.341012781643313, 47.42310616691979]}";Kandelaberleuchte
47.424169243,9.34008874492;"{""type"": ""Point"", ""coordinates"": [9.340088744923431, 47.424169243048006]}";Kandelaberleuchte
47.4217927109,9.34050729474;"{""type"": ""Point"", ""coordinates"": [9.34050729473829, 47.421792710945205]}";Kandelaberleuchte
47.4209335459,9.35748957103;"{""type"": ""Point"", ""coordinates"": [9.357489571026235, 47.420933545889184]}";Inselpfosten
47.4211019608,9.35833602496;"{""type"": ""Point"", ""coordinates"": [9.358336024957392, 47.42110196075436]}";Inselpfosten
47.4211312478,9.35754554672;"{""type"": ""Point"", ""coordinates"": [9.357545546715848, 47.42113124775712]}";Inselpfosten
47.4204689002,9.35579761731;"{""type"": ""Point"", ""coordinates"": [9.355797617310989, 47.42046890020084]}";Kandelaberleuchte
47.4208568905,9.35649684795;"{""type"": ""Point"", ""coordinates"": [9.35649684794691, 47.420856890491926]}";Kandelaberleuchte
47.4206900673,9.35501933172;"{""type"": ""Point"", ""coordinates"": [9.355019331722085, 47.42069006732252]}";Kandelaberleuchte
47.4207341363,9.35589240645;"{""type"": ""Point"", ""coordinates"": [9.355892406449454, 47.420734136333905]}";Kandelaberleuchte
47.4214264714,9.35484635173;"{""type"": ""Point"", ""coordinates"": [9.354846351726396, 47.421426471355325]}";Kandelaberleuchte
47.4211696683,9.35764607419;"{""type"": ""Point"", ""coordinates"": [9.357646074189296, 47.42116966833387]}";Kandelaberleuchte
47.4018071711,9.33827670726;"{""type"": ""Point"", ""coordinates"": [9.338276707260018, 47.40180717108425]}";Kandelaberleuchte
47.4016448885,9.33753293397;"{""type"": ""Point"", ""coordinates"": [9.337532933965708, 47.40164488851216]}";Kandelaberleuchte
47.4032074399,9.3364420264;"{""type"": ""Point"", ""coordinates"": [9.33644202640247, 47.40320743991114]}";Beleuchtungsmast
47.4029059102,9.3354786055;"{""type"": ""Point"", ""coordinates"": [9.335478605502562, 47.40290591017716]}";Kandelaberleuchte
47.4036178987,9.33521062987;"{""type"": ""Point"", ""coordinates"": [9.335210629865731, 47.40361789872837]}";Beleuchtungsmast
47.4042303837,9.33612221036;"{""type"": ""Point"", ""coordinates"": [9.336122210357562, 47.40423038369196]}";Kandelaberleuchte
47.4062153198,9.33483388458;"{""type"": ""Point"", ""coordinates"": [9.334833884579547, 47.406215319820845]}";Kandelaberleuchte
47.4065991712,9.33570008016;"{""type"": ""Point"", ""coordinates"": [9.335700080162932, 47.40659917122613]}";Kandelaberleuchte
47.4138913227,9.33880642625;"{""type"": ""Point"", ""coordinates"": [9.338806426246776, 47.41389132269854]}";Beleuchtungsmast
47.4421932718,9.39294977528;"{""type"": ""Point"", ""coordinates"": [9.392949775280846, 47.44219327179938]}";Kandelaberleuchte
47.4139576924,9.34119455696;"{""type"": ""Point"", ""coordinates"": [9.34119455695753, 47.41395769243012]}";Kandelaberleuchte
47.4113597401,9.33789030849;"{""type"": ""Point"", ""coordinates"": [9.33789030848653, 47.411359740093346]}";Kandelaberleuchte
47.4119188766,9.34170976709;"{""type"": ""Point"", ""coordinates"": [9.34170976709008, 47.41191887663945]}";Kandelaberleuchte
47.412196448,9.34149055683;"{""type"": ""Point"", ""coordinates"": [9.341490556831106, 47.41219644803209]}";Kandelaberleuchte
47.4124431514,9.34318261537;"{""type"": ""Point"", ""coordinates"": [9.34318261536506, 47.4124431514432]}";Kandelaberleuchte
47.4120225296,9.34293723138;"{""type"": ""Point"", ""coordinates"": [9.342937231375862, 47.412022529597564]}";Kandelaberleuchte
47.4120710401,9.33627138274;"{""type"": ""Point"", ""coordinates"": [9.336271382741204, 47.41207104014166]}";Inselpfosten
47.4101898039,9.33276470964;"{""type"": ""Point"", ""coordinates"": [9.332764709642715, 47.41018980386267]}";Kandelaberleuchte
47.4103281628,9.33315721184;"{""type"": ""Point"", ""coordinates"": [9.333157211843089, 47.4103281628283]}";Kandelaberleuchte
47.4105501808,9.33378668123;"{""type"": ""Point"", ""coordinates"": [9.333786681230334, 47.410550180825794]}";Kandelaberleuchte
47.4098890639,9.33418583269;"{""type"": ""Point"", ""coordinates"": [9.33418583268996, 47.40988906392681]}";Kandelaberleuchte
47.4109980747,9.33471952581;"{""type"": ""Point"", ""coordinates"": [9.334719525812408, 47.41099807466224]}";Kandelaberleuchte
47.4159243941,9.34549774445;"{""type"": ""Point"", ""coordinates"": [9.345497744451325, 47.41592439408173]}";Beleuchtungsmast
47.4161437766,9.34493581836;"{""type"": ""Point"", ""coordinates"": [9.344935818355495, 47.41614377659866]}";Inselpfosten
47.4161556215,9.34749961611;"{""type"": ""Point"", ""coordinates"": [9.347499616109056, 47.416155621458536]}";Beleuchtungsmast
47.4159187924,9.34508752147;"{""type"": ""Point"", ""coordinates"": [9.345087521472184, 47.41591879237748]}";Beleuchtungsmast
47.4171196445,9.34309351882;"{""type"": ""Point"", ""coordinates"": [9.343093518821378, 47.417119644475726]}";Kandelaberleuchte
47.4175323537,9.3463387476;"{""type"": ""Point"", ""coordinates"": [9.346338747602566, 47.41753235372384]}";Kandelaberleuchte
47.4177879867,9.34597590899;"{""type"": ""Point"", ""coordinates"": [9.345975908994344, 47.41778798671623]}";Kandelaberleuchte
47.4138350457,9.35432830237;"{""type"": ""Point"", ""coordinates"": [9.354328302369662, 47.41383504573253]}";Kandelaberleuchte
47.4139035252,9.35480602549;"{""type"": ""Point"", ""coordinates"": [9.354806025485104, 47.41390352515958]}";Kandelaberleuchte
47.4075193648,9.36371309837;"{""type"": ""Point"", ""coordinates"": [9.363713098370646, 47.40751936483957]}";Kandelaberleuchte
47.4075446684,9.36211884787;"{""type"": ""Point"", ""coordinates"": [9.362118847867537, 47.40754466838316]}";Kandelaberleuchte
47.4079668053,9.36060814117;"{""type"": ""Point"", ""coordinates"": [9.360608141173516, 47.40796680530366]}";Kandelaberleuchte
47.4075817936,9.35957547913;"{""type"": ""Point"", ""coordinates"": [9.359575479126349, 47.40758179361438]}";Kandelaberleuchte
47.4334105576,9.41289711224;"{""type"": ""Point"", ""coordinates"": [9.412897112235505, 47.43341055758705]}";Kandelaberleuchte
47.4324099869,9.41241115789;"{""type"": ""Point"", ""coordinates"": [9.412411157893853, 47.43240998689371]}";Kandelaberleuchte
47.4333216288,9.40984567321;"{""type"": ""Point"", ""coordinates"": [9.409845673210484, 47.43332162878849]}";Kandelaberleuchte
47.4337499167,9.41105189175;"{""type"": ""Point"", ""coordinates"": [9.411051891751889, 47.43374991667926]}";Kandelaberleuchte
47.4342859063,9.41153540658;"{""type"": ""Point"", ""coordinates"": [9.411535406580708, 47.43428590634823]}";Kandelaberleuchte
47.4347825008,9.41275473708;"{""type"": ""Point"", ""coordinates"": [9.412754737078835, 47.434782500820056]}";Kandelaberleuchte
47.43604369,9.41417019959;"{""type"": ""Point"", ""coordinates"": [9.414170199591318, 47.43604369003727]}";Kandelaberleuchte
47.4339893506,9.41463495161;"{""type"": ""Point"", ""coordinates"": [9.414634951613195, 47.4339893506377]}";Kandelaberleuchte
47.4339971819,9.41389514788;"{""type"": ""Point"", ""coordinates"": [9.413895147882103, 47.4339971818929]}";Kandelaberleuchte
47.4338669935,9.41355202582;"{""type"": ""Point"", ""coordinates"": [9.413552025821494, 47.43386699350268]}";Kandelaberleuchte
47.4349176017,9.41671623727;"{""type"": ""Point"", ""coordinates"": [9.416716237266815, 47.43491760172515]}";Kandelaberleuchte
47.4200153274,9.35824063237;"{""type"": ""Point"", ""coordinates"": [9.358240632374214, 47.420015327436474]}";Kandelaberleuchte
47.421362114,9.35723565553;"{""type"": ""Point"", ""coordinates"": [9.35723565552506, 47.421362114030806]}";Kandelaberleuchte
47.422031664,9.35717012295;"{""type"": ""Point"", ""coordinates"": [9.357170122945774, 47.42203166395048]}";Kandelaberleuchte
47.4076151413,9.32537902705;"{""type"": ""Point"", ""coordinates"": [9.325379027048532, 47.40761514129366]}";Kandelaberleuchte
