Station;station/location;WIGOS-ID;Data since;Station height m. a. sea level;CoordinatesE;CoordinatesN;Latitude;Longitude;Climate region;Canton;URL Previous years (verified data);URL Current year
Jungfraujoch;JUN;0-20000-0-06730;01.01.1933;3571;2641939;1155287;46.547556;7.985444;Western Alpine north slope;VS;https://data.geo.admin.ch/ch.meteoschweiz.klima/nbcn-tageswerte/nbcn-daily_JUN_previous.csv;https://data.geo.admin.ch/ch.meteoschweiz.klima/nbcn-tageswerte/nbcn-daily_JUN_current.csv
Lugano;LUG;0-20000-0-06770;01.01.1864;273;2717874;1095883;46.004217;8.960322;Alpine south side;TI;https://data.geo.admin.ch/ch.meteoschweiz.klima/nbcn-tageswerte/nbcn-daily_LUG_previous.csv;https://data.geo.admin.ch/ch.meteoschweiz.klima/nbcn-tageswerte/nbcn-daily_LUG_current.csv
Luzern;LUZ;0-20000-0-06650;01.01.1864;454;2665545;1209850;47.036439;8.301022;Central plateau;LU;https://data.geo.admin.ch/ch.meteoschweiz.klima/nbcn-tageswerte/nbcn-daily_LUZ_previous.csv;https://data.geo.admin.ch/ch.meteoschweiz.klima/nbcn-tageswerte/nbcn-daily_LUZ_current.csv
Meiringen;MER;0-20000-0-06637;01.07.1889;589;2655844;1175930;46.732222;8.169247;Western Alpine north slope;BE;https://data.geo.admin.ch/ch.meteoschweiz.klima/nbcn-tageswerte/nbcn-daily_MER_previous.csv;https://data.geo.admin.ch/ch.meteoschweiz.klima/nbcn-tageswerte/nbcn-daily_MER_current.csv
Neuchâtel;NEU;0-20000-0-06604;01.01.1864;485;2563087;1205560;47.000067;6.953297;Western plateau;NE;https://data.geo.admin.ch/ch.meteoschweiz.klima/nbcn-tageswerte/nbcn-daily_NEU_previous.csv;https://data.geo.admin.ch/ch.meteoschweiz.klima/nbcn-tageswerte/nbcn-daily_NEU_current.csv
Locarno / Monti;OTL;0-20000-0-06760;01.12.1882;367;2704167;1114316;46.172256;8.787494;Alpine south side;TI;https://data.geo.admin.ch/ch.meteoschweiz.klima/nbcn-tageswerte/nbcn-daily_OTL_previous.csv;https://data.geo.admin.ch/ch.meteoschweiz.klima/nbcn-tageswerte/nbcn-daily_OTL_current.csv
Payerne;PAY;0-20000-0-06610;01.08.1964;490;2562131;1184612;46.811581;6.942469;Western plateau;VD;https://data.geo.admin.ch/ch.meteoschweiz.klima/nbcn-tageswerte/nbcn-daily_PAY_previous.csv;https://data.geo.admin.ch/ch.meteoschweiz.klima/nbcn-tageswerte/nbcn-daily_PAY_current.csv
Bad Ragaz;RAG;0-20000-0-06686;01.06.1870;497;2756911;1209351;47.016631;9.502594;Northern and central Grisons;SG;https://data.geo.admin.ch/ch.meteoschweiz.klima/nbcn-tageswerte/nbcn-daily_RAG_previous.csv;https://data.geo.admin.ch/ch.meteoschweiz.klima/nbcn-tageswerte/nbcn-daily_RAG_current.csv
Säntis;SAE;0-20000-0-06680;01.01.1864;2501;2744188;1234920;47.249447;9.343469;Eastern Alpine north slope;AI;https://data.geo.admin.ch/ch.meteoschweiz.klima/nbcn-tageswerte/nbcn-daily_SAE_previous.csv;https://data.geo.admin.ch/ch.meteoschweiz.klima/nbcn-tageswerte/nbcn-daily_SAE_current.csv
Samedan;SAM;0-20000-0-06792;01.01.1864;1709;2787251;1155685;46.526247;9.879469;Engadine;GR;https://data.geo.admin.ch/ch.meteoschweiz.klima/nbcn-tageswerte/nbcn-daily_SAM_previous.csv;https://data.geo.admin.ch/ch.meteoschweiz.klima/nbcn-tageswerte/nbcn-daily_SAM_current.csv
S. Bernardino;SBE;0-20000-0-06783;01.01.1864;1639;2734116;1147294;46.463542;9.1847;Alpine south side;GR;https://data.geo.admin.ch/ch.meteoschweiz.klima/nbcn-tageswerte/nbcn-daily_SBE_previous.csv;https://data.geo.admin.ch/ch.meteoschweiz.klima/nbcn-tageswerte/nbcn-daily_SBE_current.csv
Segl-Maria;SIA;0-20000-0-06779;01.12.1863;1804;2778576;1144976;46.432331;9.762325;Engadine;GR;https://data.geo.admin.ch/ch.meteoschweiz.klima/nbcn-tageswerte/nbcn-daily_SIA_previous.csv;https://data.geo.admin.ch/ch.meteoschweiz.klima/nbcn-tageswerte/nbcn-daily_SIA_current.csv
Sion;SIO;0-20000-0-06720;01.01.1864;482;2591633;1118584;46.21865;7.330203;Valais;VS;https://data.geo.admin.ch/ch.meteoschweiz.klima/nbcn-tageswerte/nbcn-daily_SIO_previous.csv;https://data.geo.admin.ch/ch.meteoschweiz.klima/nbcn-tageswerte/nbcn-daily_SIO_current.csv
